Stock;Index
SNEC34;BDRX
SPGI34;BDRX
S1PL34;BDRX
S1PO34;BDRX
SGPS3;IGCX IGNM ITAG
SBUB34;BDRX
S2TO34;BDRX
SULA11;IBOV IBRA IBXX ICO2 IFNC IGCT IGCX ISEE ITAG IVBX SMLL
SUZB3;AGFS GPTW IBOV IBRA IBXL IBXX ICO2 IGCT IGCX IGNM IMAT INDX ISEE ITAG IVBX MLCX
SYNE3;IBRA IDIV IGCT IGCX IGNM IMOB ITAG SMLL
S1YF34;BDRX
TAEE11;GPTW IBOV IBRA IBXX ICO2 IDIV IEEX IGCT IGCX ITAG MLCX UTIL
TSMC34;BDRX
T1TW34;BDRX
T1AL34;BDRX
TGTB34;BDRX
TASA3;IGCX ITAG
TASA4;IBRA IGCT IGCX INDX ITAG SMLL
TRAD3;IBRA IGCT IGCX IGNM ITAG SMLL
TECN3;IBRA ICON IGCT IGCX IGNM ITAG SMLL
TCSA3;IBRA ICON IGCT IGCX IGNM IMOB ITAG SMLL
TGMA3;IBRA IDIV IGCT IGCX IGNM ITAG SMLL
T2DH34;BDRX
VIVT3;GPTW IBOV IBRA IBXX ICO2 IDIV ISEE IVBX MLCX
TLNC34;BDRX
TEND3;IBRA ICON IGCT IGCX IGNM IMOB INDX ITAG SMLL
TXSA34;BDRX
LAND3;IGCX IGNM ITAG
TSLA34;BDRX
T1EV34;BDRX
TEXA34;BDRX
TMOS34;BDRX
TIMS3;IBOV IBRA IBXX ICO2 IGCT IGCX IGNM ISEE ITAG MLCX
SHOW3;IGCX IGNM ITAG
TOTS3;GPTW IBOV IBRA IBXL IBXX IGCT IGCX IGNM ITAG IVBX MLCX
TMCO34;BDRX
TFCO4;IGCX ITAG
T2TD34;BDRX
TRPL3;IGCX
TRPL4;IBRA IDIV IEEX IGCT IGCX MLCX UTIL
RIGG34;BDRX
T1RI34;BDRX
TRIS3;IBRA ICON IDIV IGCT IGCX IGNM IMOB ITAG SMLL
TPIS3;IBRA IGCT IGCX IGNM ITAG SMLL
TUPY3;AGFS IBRA IGCT IGCX IGNM INDX ITAG SMLL
T1WL34;BDRX
TWTR34;BDRX
U1BE34;BDRX
UBSG34;BDRX
UGPA3;IBOV IBRA IBXX ICO2 IGCT IGCX IGNM ITAG IVBX MLCX
UCAS3;IGCX IGNM ITAG
FIQE3;IGCX IGNM ITAG
ULEV34;BDRX
UNIP6;IBRA IDIV IMAT INDX SMLL
U1AL34;BDRX
UNHH34;BDRX
U2ST34;BDRX
UPSS34;BDRX
USBC34;BDRX
USSX34;BDRX
USIM3;IBRA IGCT IGCX IMAT MLCX
USIM5;IBOV IBRA IBXL IBXX ICO2 IGCT IGCX IMAT INDX IVBX MLCX
VALE3;IBOV IBRA IBXL IBXX IDIV IGCT IGCX IGNM IMAT ITAG MLCX
VLOE34;BDRX
VLID3;IBRA IGCT IGCX IGNM ITAG SMLL
VAMO3;AGFS IBRA ICON IGCT IGCX IGNM ITAG MLCX
VERZ34;BDRX
